,year,type,engine,number
278,2015,Taxis,Petrol,466
279,2015,Taxis,Diesel,24244
280,2015,Taxis,Petrol-Electric,1889
281,2015,Taxis,Petrol-CNG,1660
282,2015,Taxis,CNG,0
283,2015,Taxis,Electric,0
284,2015,Motorcycles,Petrol,143277
285,2015,Motorcycles,Electric,2
286,2015,Goods and Other Vehicles,Petrol,7266
287,2015,Goods and Other Vehicles,Diesel,136686
288,2015,Goods and Other Vehicles,Petrol-Electric,1
289,2015,Goods and Other Vehicles,Petrol-CNG,8
290,2015,Goods and Other Vehicles,CNG,4
291,2015,Goods and Other Vehicles,Electric,1
292,2015,Goods and Other Vehicles,Diesel-Electric,6
293,2015,Buses,Petrol,93
294,2015,Buses,Diesel,17629
295,2015,Buses,Petrol-Electric,0
296,2015,Buses,Petrol-CNG,2
297,2015,Buses,CNG,12
298,2015,Buses,Electric,0
299,2015,Buses,Diesel-Electric,4
300,2016,Cars,Petrol,578977
301,2016,Cars,Diesel,10364
302,2016,Cars,Petrol-Electric,10075
303,2016,Cars,Petrol-Electric (Plug-In),125
304,2016,Cars,Petrol-CNG,1682
305,2016,Cars,CNG,0
306,2016,Cars,Electric,12
307,2016,Cars,Diesel-Electric,22
308,2016,Taxis,Petrol,260
309,2016,Taxis,Diesel,23748
310,2016,Taxis,Petrol-Electric,2492
311,2016,Taxis,Petrol-CNG,1034
312,2016,Taxis,CNG,0
313,2016,Taxis,Electric,0
314,2016,Motorcycles,Petrol,142437
315,2016,Motorcycles,Electric,2
316,2016,Goods and Other Vehicles,Petrol,7123
317,2016,Goods and Other Vehicles,Diesel,136809
318,2016,Goods and Other Vehicles,Petrol-Electric,1
319,2016,Goods and Other Vehicles,Petrol-CNG,5
320,2016,Goods and Other Vehicles,CNG,3
321,2016,Goods and Other Vehicles,Electric,18
322,2016,Goods and Other Vehicles,Diesel-Electric,7
323,2016,Buses,Petrol,73
324,2016,Buses,Diesel,18247
325,2016,Buses,Petrol-Electric,0
326,2016,Buses,Petrol-CNG,2
327,2016,Buses,CNG,12
328,2016,Buses,Electric,1
329,2016,Buses,Diesel-Electric,3
330,2017,Cars,Petrol,574443
331,2017,Cars,Diesel,15514
332,2017,Cars,Petrol-Electric,20751
333,2017,Cars,Petrol-Electric (Plug-In),206
334,2017,Cars,Petrol-CNG,1006
335,2017,Cars,CNG,0
336,2017,Cars,Electric,314
337,2017,Cars,Diesel-Electric,22
338,2017,Taxis,Petrol,129
339,2017,Taxis,Diesel,18851
340,2017,Taxis,Petrol-Electric,4159
341,2017,Taxis,Petrol-CNG,1
342,2017,Taxis,CNG,0
343,2017,Taxis,Electric,0
344,2017,Motorcycles,Petrol,141302
345,2017,Motorcycles,Electric,2
346,2017,Goods and Other Vehicles,Petrol,5009
347,2017,Goods and Other Vehicles,Diesel,137803
348,2017,Goods and Other Vehicles,Petrol-Electric,1
349,2017,Goods and Other Vehicles,Petrol-CNG,3
350,2017,Goods and Other Vehicles,CNG,3
351,2017,Goods and Other Vehicles,Electric,31
352,2017,Goods and Other Vehicles,Diesel-Electric,7
353,2017,Buses,Petrol,43
354,2017,Buses,Diesel,18753
355,2017,Buses,Petrol-Electric,0
356,2017,Buses,Petrol-CNG,1
357,2017,Buses,CNG,12
358,2017,Buses,Electric,2
359,2017,Buses,Diesel-Electric,3
360,2018,Cars,Petrol,569673
361,2018,Cars,Diesel,17253
362,2018,Cars,Petrol-Electric,27179
363,2018,Cars,Petrol-Electric (Plug-In),380
364,2018,Cars,Petrol-CNG,386
365,2018,Cars,CNG,0
366,2018,Cars,Electric,560
367,2018,Cars,Diesel-Electric,21
